"","logFC","logCPM","LR","PValue","FDR"
"PITA_07352",4.00697008118764,2.37707666806439,17.0139010895351,3.71071503341234e-05,0.0035456290990403
"PITA_23709",2.07037966998026,6.70141803711744,16.8603467493408,4.02333950779277e-05,0.00380520135484299
"PITA_08602",1.37850295380222,5.80565189995607,16.8338375138439,4.07993069556896e-05,0.00384474338627004
"PITA_39192",2.4341952136567,2.09299073091547,16.7921463220003,4.17055526356062e-05,0.003915955662453
"PITA_19617",1.42147427444365,6.26251968173778,16.7619707882926,4.23740809310536e-05,0.00396441536307832
"PITA_38559",1.49989377963846,5.58030210565989,16.6869733368683,4.4082664235775e-05,0.00410948392153502
"PITA_27518",2.76157004887117,4.35360702357324,16.6441360266495,4.50894858772837e-05,0.00418833013636526
"PITA_13108",2.48426901395612,3.06003727478907,16.5629344159697,4.70618918495618e-05,0.00432520404634365
"PITA_03905",1.9876126747524,5.95175426845948,16.5134650343045,4.83058063262443e-05,0.00442389336880031
"PITA_08957",2.68983000982655,1.89154295135584,16.360631847873,5.23615994210236e-05,0.00475216868992049
"PITA_21725",1.96000254108754,3.77131591936776,16.3581401513103,5.24304846676176e-05,0.00475216868992049
"PITA_13936",1.47083428627082,4.55291665056947,16.357851176883,5.24384795265939e-05,0.00475216868992049
"PITA_31996",2.42709164218104,2.11442864582612,16.2616955803364,5.51679965469059e-05,0.00493080557453085
"PITA_11125",1.58758673460244,3.94424113694601,16.2452566882643,5.5648739989848e-05,0.0049567399945067
"PITA_22084",1.50265101983037,6.89213125007193,16.2368671243916,5.58957080655886e-05,0.00496174563507813
"PITA_14640",2.23833668411721,4.68837605860273,16.1714269073658,5.78603249784815e-05,0.00509058668682766
"PITA_25719",1.65898172490897,4.09102991124121,16.1690061429601,5.79343173248101e-05,0.00509058668682766
"PITA_28503",4.09226200476573,3.2975256049451,16.1414913332529,5.8782044202039e-05,0.00514768413350448
"PITA_44727",3.99112985694464,3.15390460803092,16.1323078389732,5.90677540354299e-05,0.00515534635807885
"PITA_47910",2.37626086487843,2.35298186728343,16.114638960345,5.96213891033729e-05,0.00518626324143687
"PITA_46665",3.57819085403546,2.82607121677232,16.1069574363751,5.98637060856833e-05,0.00518998377194179
"PITA_31428",2.62610894324174,1.09964718680232,16.0020561353664,6.32737279595906e-05,0.00544850294014107
"PITA_39044",1.899264206223,5.00390620886448,15.9980955949344,6.34062326487532e-05,0.00544850294014107
"PITA_17285",2.38161387785062,2.50606559662382,15.9960719676901,6.34740432489809e-05,0.00544850294014107
"PITA_49179",3.8909728206639,2.88998897088271,15.9892182118944,6.37042510450295e-05,0.00545027587312557
"PITA_37224",3.64683551703075,2.35278030332402,15.9357665395039,6.5528669811674e-05,0.00556743652906226
"PITA_28004",2.14653015993623,4.74308923524615,15.9143352590503,6.6274842363628e-05,0.00559656615271299
